,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish,translated_from_portuguese
171915,811376,He lives alone.,Il vit solit.,Er lebt allein.,అతను ఒంటరిగా חי.,Vive da solo. | Lui vive da solo. | Abita da solo. | Lui abita da solo.,| 彼は一人生活です.,他一人生活. | 他独自生活.,Mieszka sam. | On mieszka sam.,Ele mora sozinho.
172646,827295,I hate you.,Je te déteste. | Je te hais. | Je vous hais.,Ich hasse dich.,私はあなたを憎む | 私はあなたを憎む,オオオオオオオオオオ!,ඔයාගේことが大嫌い.,I hate you | I hate you.,Nienawidzę cię. | Mam cię w dupie.,Te odeio. | Eu te detesto. | Eu te odeio.
173753,847863,I'm always hungry.,J'ai toujours faim. | J'ai tout le temps faim.,Ich habe immer Hunger.,මම හැමවෙලේම רעב.,Ho sempre fame. | Io ho sempre fame.,I am always hungry. | Always hungry. | Always hungry.,我总是饿了。,Zawsze jestem głodny. | Jestem wiecznie głodny.,Eu sempre estou com fome.
174179,854500,Get lost.,Déguerpissez. | Bouge! | Décampez! | Décampe! | Cassez-vous. | Fichez le camp. | Fiche le camp.,Schleich dich!,| | | | | |,स्म्मा. | स्ममी. | स्ममा. | स्ममा. | स्ममा. | स्ममा. | स्ममा. | स्ममा. | स्ममी. | वै अल डायवोलो. | वदा अल डायवोलो. | अंडेट अल डायवोलो.,行け! | どっか行け。,滚.,ස්පාඩයි.,സെ മാണ്ട!
175014,870628,Please continue.,"Veuillez continuer. | Veuillez poursuivre. | Continuez, s'il vous plaît. | Continue, s'il te plaît.",Bitte fahr fort!,कृपया जारी रखें. | נא जारी रखें. | תמשיכו कृपया.,请你继续。 请你继续。 请你继续。 请你继续。 请你继续。 请你继续。,話し続けて. | どうぞ続けて.,请 continue.,"Kontynuuj, please.","Prosím, pokračujte."
176212,881861,I don't have a cat.,Je n'ai pas de chat. | Je ne possède pas de chat.,Ich habe keine Katze.,אין לי חתול.,నాన్ ho un gatto.,I don't own a cat. | I don't own a cat.,I don't have a cat. | I don't have a cat.,Nie posiadam kota. | Nie mam kota.,Eu não tenho gato. | Eu não tenho nenhum gato.
176341,883062,Choose one.,| Choisis-en un. | Choisis-en une. | Choisissez-en un.,Suche eines aus. | Such dir eine aus.,चुने एक. | תבחרי एक. | תבחרו एक.,चुनें एक. | चुनें एक. | न चुनें एक. | न चुनें एक. | न चुनें एक. | चुनें एक. | चुनें एक.,一つ選んで.,select a吧.,Wybierz jeden. | Proszę wybrać jeden.,Escolha um. | Escolha uma. | Escolhe um.
177553,890415,Come!,Viens! | Venez!,आओ! आओ! आओ! आओ!,එන්න!,വിയെനി!,එන්න!,එන්න!,Chodź!,වේම්!
177627,891930,I want to die with Getter Jaani.,මට මැරෙන්න ඕන ජෙටර් ජේනි එක්ක.,"""Ich will mit Getter Jaani sterben.",මට ඕනේ මැරෙන්න ජටර් යන් එක්ක.,Voglio morire con Getter Jaani. | Voglio morire insieme a Getter Jaani. | Io voglio morire con Getter Jaani. | Io voglio morire insieme a Getter Jaani.,I want to die with ゲッテル・ヤーニ.,I think and John 格特死在一起. | 我想和格特‧嘉尼一起死.,Chcę umrzeć z Getter Jaani (ang.).,क्वेरो मरना कम जेटर जानी.
178536,906328,Run!,Cours! | Courez! | File! | Cours! | Filez! | Courez! | Prenez vos jambes à vos cous! | Fuyez! | Fuyons!,Lauf!,දුවන්න!,Corri! | Corra! | Correte!,走れ! | 逃げろ!,逃げろ!,Uciekaj! | Chodu!,सही! | कोररा! | कोरराम!
179456,914029,What do you think?,Qu'en penses-tu? | Qu'en penser?,Byl meinst du? | Byl denkst du?,| What do you think?,Co ne pensi? | Co ne pensate? | Co ne pensa?,क्या सोचते हो? | क्या सोचते हो? | क्या सोचते हो? | क्या सोचते हो? | क्या सोचते हो?,| You What Think? | You What Think?,Jak myślisz?,O que você acha?
180182,925077,It is too expensive.,To je trop cher.,Das ist zu teuer!,ඒක יקר מדי.,Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé. | Je příliš drahé!,It's too high. | 値段が高すぎる! | 値段が高すぎるです。 | それは高すぎる。 | 高すぎる!,这太贵了。,To za drogie. | To jest za drogie!,Je to moc drahé. | Je to moc drahé. | Je to moc drahé. | Je to moc drahé!
181016,943665,Hooray!,ഹോറ!,Hurra!,הידד!,Urrà!,万歳!,නියමයි!,Hura!,Hurra! | Viva!
181351,953107,Are you on Facebook?,Jsi na Facebooku? | Jsi na Facebooku? | Jsi na Facebooku?,Sind Sie auf Facebook? | Sind Sie auf Facebook? | Sind Sie auf Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Sind Sie bei Facebook? | Haben Sie Facebook?,あなたはFacebookで? | あなたはFacebookで?,Jsi tvůj Facebook? | Jsi tvůj Facebook? | Je tvůj Facebook? | Jsi tvůj Facebook? | Lei je tvůj Facebook? | Voi siete tvůj Facebook?,フェイスブックはやってますか? | Facebookやってる?,你在脸书上?,Máte konto na Facebooku? | Jste na Facebooku? | Jste na Facebooku?,You have Facebook? | You have no Facebook?
181446,953202,Do you like cooking?,Aimez-vous faire la cuisine? | Aimes-tu faire la cuisine?,Kochst du gerne? | Kocht ihr gerne? | Kochen Sie gerne?,料理が好きですか? | 料理が好きですか?,你喜欢烹饪? | 你喜欢烹饪? | 你喜欢烹饪? | 你喜欢烹饪? | 你喜欢烹饪?,料理好きですか? | 料理好きですか?,你喜欢做菜吗?,Lubisz gotować?,మీరు ఉడికించాలి అనుకుంటున్నారా?
181468,953224,Do you think I'm stupid?,Penses-tu que j sois idiot? | Pensez-vous que j sois idiot? | Vous me prenez pour un idiot?,"Denkst du, ich bin blöd?","Myslíš, že jsem hlupák?","Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý? Myslíš, že jsem hloupý?","මගේこと,バカ හිතන්නේるわけ?",നിനക്കെന്നെ മണ്ടനാണോ?,"Myslíš, že jsem głupi?","Myslíš, že jsem burro? | Myslíš, že jsem estúpido? | Myslíš, že jsem idiot? | Myslíš, že jsem idiot? | Myslíš, že jsem idiot?"
181530,953286,Have you eaten?,Tu as mangé? | As-tu mangé? | Avez-vous mangé?,Have you already gegessen? | Have you gegessen? | Have you gegessen?,האם כבר אכלת?,有吃过吗? 有吃过吗? 有吃过吗? 有吃过吗? 是吃过吗? 是吃过吗? 是吃过吗?,ごはん食べたの? | ごはん食べたの?,你吃了吗? 你吃了没有? 你吃了吗?,Jadłeś już?,ඔයා එනවද? ඔයා එනවද?
181540,953296,Have you ever dyed your hair?,Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy? | Nikdy jsi neměla vlasy?,మీరు dir schon mal die Haare gefärbt Hast du?,האם אי פעם צבעת את השיער שלך?,Ti sei mai tinto i capelli? | Ti sei mai tinta i capelli? | Vi siete mai tinti i capelli? | Vi siete mai tinte i capelli? | Si è mai tinto i capelli? | Si è mai tinta i capelli?,髪染めたことある?,你染过头发吗?,你曾经染过头发吗?,Alguma vez você já pintou seu cabelo?
181601,953358,How was your summer?,Comment s'est passé ton été? | Comment s'est déroulé ton été? | Comment s'est passé votre été? | Comment s'est déroulé votre été?,Wie war dein Sommer? | Wie war euer Sommer? | Wie war Ihr Sommer?,Jak se ti dařilo léto.,Jaká byla tvá vlast? | Jaká byla tvá vlast? | Jaká byla tvá vlast?,夏はどうでしたか? | 夏はどうでしたか.,夏はいかがですか? | 夏はいかがですか?,Jak tam lato? | Jak ci minęło lato? | Jak spędziłeś lato?,Como foi o seu verão?
181609,953366,I ate too much.,J'ai trop mangé.,Ich habe zu viel gegessen.,இது மிகப்பெரிய அளவிற்கு அதிகமாகும். | אכלתי יתר עלמידה.,Ho mangiato troppo. | Mangiai troppo. | Io ho mangiato troppo. | Io mangiai troppo.,食べ過ぎた.,I eat too much. | I eat too much.,Przejadłem się. | Zjadłem za dużo.,Comi demais.
184000,982239,Do you like strawberries?,Aimez-vous les fraises?,Magst du Erdbeeren? | Mögen Sie Erdbeeren? | Mögt Ihr Erdbeeren?,Do you love תות? | Do you love תות שדה?,Ty máš rád le fragole? | Vi máš rád le fragole? | Le máš rád le fragole? | A te máš rád le fragole? | A voi máš rád le fragole? | A lei máš rád le fragole?,あなたは、いちごが好きですか?,你喜欢草莓吗?,Lubisz truskawki? | Lubicie truskawki?,మీరు gosta de morangos? Tu gostas de morangos? | మీరు gostam de morangos?
184037,983650,This is a horse.,Un Cheval ఉంది.,Tohle je koň. | Tohle je Ross. | Tohle je koň.,یہסוס ہے.,Tohle je koňský koň. | Tohle je koňský koň.,මේක馬です.,මේක馬.,കളിയാക്കുക.,Este é um cavalo. | Isso é um cavalo.
184118,987485,"Champagne, please.","షాంపైన్, s'il vous plait.","షాంపైన్, బిచ్.",שמפניה කරුණාකරලා.,"Champagne, per favore. | Champagne, per piacere.",シャンペンを頼む。 | シャンパンを頼む。,"给我香槟,谢谢。",Poproszę szampana.,"චම්පාන්හා, උදව් කරන්න. | චම්පාන්හේ, උදව් කරන්න."
184160,990384,Grammar is very complicated.,La grammaire est une chose très difficile.,व्याकरण बहुत जटिल है।,यह बहुत जटिल बात है।,A grammatica é muito complicada.,文法は非常にややこしい。 | 文法は非常に煩雑だ。,语法非常复杂。,Gramatyka jest bardzo skomplikowana.,एक व्याकरण बहुत जटिल है।
184235,993268,He died recently.,最近亡くなった。 | 最近死んだ。,Er ist vor Kurzem gestorben.,彼は最近亡くなりました. | 彼は亡くなりました。,| 最近死去した。,He died recently.,他最近去世了。,Zmarł nedávno.,ഇപ്പോഴാണ് ഇവള് മരിച്ചത്.
184422,997880,I don't drink coffee.,Je ne bois pas de café.,Ich trinke keinen Kaffee.,אינני שותה קפה.,Non bevo caffè. | Io non bevo caffè.,I don't drink coffee. | I don't drink coffee.,I won't drink coffee.,Nie piję kawy.,Eu não bebo కేఫ్.
186312,1024693,Tom isn't here.,ٹام pas ici نہیں ہے.,ടോം ഇവിടെ ഇല്ല.,תום לא פה.,టామ్ లేదు ఈ qui.,トムはいません。 | トムがいません。,I'm not here. | I'm not here.,Toma here nie ma.,Tom não está aqui.
187666,1026051,Tom doesn't like cats.,汤姆不喜欢聊天。,Tom mag keine Katzen.,ٹام חתולים پسند نہیں کرتا.,A Tom non piacciono i gatti.,I don't like cats.,汤姆不喜欢猫。,Tom nie lubi kotów.,Tom não gosta de gatos.
188288,1026675,Tom closed his eyes.,Tom ferma les yeux. | Tom a fermé les yeux.,Tom schloss seine Augen. | Tom schloss die Augen.,תום עצם את עיניו.,Tom has closed gli eyes. | Tom chiuse gli eyes.,トムは目を閉じた. | トムは目をつぶった.,汤姆闭上了眼睛。,Tom zamknął oči.,Tom Fechou os oči.
188621,1027009,Tom blushed.,ടോം ഒരു റൂഗി.,ടോം നശിച്ചു.,تام سمیک.,Tom è arrossito. | Tom arrossì.,He became red.,ටොම්ගේ මූන රතු වෙලා.,Tom se zarumienił.,ටොම් මැරුණා වර්ගොන්හා වල.
190239,1028631,Tom hugged Mary.,汤姆很适合玛丽.,Tom umarmte Mary. | Tom hat Mary umarmt.,תום חיבק אתמרי.,Tom ha abbracciato Mary. | Tom abbracciò Mary.,I'm going to try to hold my belt tight.,汤姆拥抱了玛丽。,Tom przytulił Mary.,ടോം ആബ്രൂ മേരി.
193352,1064331,It wasn't my fault.,Nebylo to moje chyba. | Nebylo to moje chyba.,Das war nicht meine Schuld. | Es war nicht meine Schuld.,To nebylo moje vina. To nebylo moje vina. To bylo kvůli mně.,| Not è stata colpa mia.,It was not my fault. | It was not my calmness.,那不是 මගේ錯.,To nie byla moja wina.,| That não foi culpa minha.
193634,1071653,Eat your soup before it gets cold.,Mange ta soupe avant qu'elle ne refroidisse. | Mangez votre soupe avant qu'elle ne refroidisse.,"Iss your Suppe, bevor sie kalt wird.",| תאכלי את המרק שלך לפני שהוא מתקרר.,Mangia la tua minestra prima che diventi fredda. | Mangia la tua zuppa prima che diventi fredda. | Mangia la tua minestra prima che si raffreddi. | Mangia la tua zuppa prima che si raffreddi.,スープが冷めないうちに飲んでね.,趁汤没凉之前喝下。,Zjedz zupę zanim wystygnie.,Tome a sopa antes que fique fria. | Toma a sopa antes que ela esfrie. | Tomem a sopa antes que ela fique fria. | Tomai a sopa antes que ela esfrie.
193744,1075501,May I put it here?,Puis-je le mettre ici? | Puis-je le mettre là? | Puis-je la mettre ici?,Darf ich es hierhin stellen? | Darf ich es hierhin legen?,Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here?,Můžu to udělat? | Můžu to udělat? | Můžu to udělat? | Můžu to udělat?,ഇവിടെ വെച്ചോട്ടെ?,我可以把它放在这儿吗?,Můžu se sem přidat?,क्या मैं इसे यहाँ रख सकता हूँ? | क्या मैं उसे यहाँ रख सकता हूँ?
193745,1075502,We should always obey laws.,| 私たちは常に法律に従うべきである。,हम हमें हमेशा एक नियम बनाए रखना चाहिए।,हमें हमेशा कानून का पालन करना चाहिए।,Dovremmo sempre obbedire alle leggi. | Noi dovremmo sempre obbedire alle leggi.,We must always protect the law.,我们总要遵守法律。,എല്ലായ്പ്പോഴും നിയമങ്ങള് അനുസരിക്കണം.,Deveríamos sempre obedecer às leis.
