,index,english,translated_from_french,translated_from_german,translated_from_hebrew,translated_from_italian,translated_from_japanese,translated_from_mandarin,translated_from_polish
184160,990384,Grammar is very complicated.,La grammaire est une chose très difficile.,व्याकरण बहुत जटिल है।,यह बहुत जटिल बात है।,A grammatica é muito complicada.,文法は非常にややこしい。 | 文法は非常に煩雑だ。,语法非常复杂。,Gramatyka jest bardzo skomplikowana.
184235,993268,He died recently.,最近亡くなった。 | 最近死んだ。,Er ist vor Kurzem gestorben.,彼は最近亡くなりました. | 彼は亡くなりました。,| 最近死去した。,He died recently.,他最近去世了。,Zmarł nedávno.
184422,997880,I don't drink coffee.,Je ne bois pas de café.,Ich trinke keinen Kaffee.,אינני שותה קפה.,Non bevo caffè. | Io non bevo caffè.,I don't drink coffee. | I don't drink coffee.,I won't drink coffee.,Nie piję kawy.
186312,1024693,Tom isn't here.,ٹام pas ici نہیں ہے.,ടോം ഇവിടെ ഇല്ല.,תום לא פה.,టామ్ లేదు ఈ qui.,トムはいません。 | トムがいません。,I'm not here. | I'm not here.,Toma here nie ma.
187666,1026051,Tom doesn't like cats.,汤姆不喜欢聊天。,Tom mag keine Katzen.,ٹام חתולים پسند نہیں کرتا.,A Tom non piacciono i gatti.,I don't like cats.,汤姆不喜欢猫。,Tom nie lubi kotów.
188288,1026675,Tom closed his eyes.,Tom ferma les yeux. | Tom a fermé les yeux.,Tom schloss seine Augen. | Tom schloss die Augen.,תום עצם את עיניו.,Tom has closed gli eyes. | Tom chiuse gli eyes.,トムは目を閉じた. | トムは目をつぶった.,汤姆闭上了眼睛。,Tom zamknął oči.
188621,1027009,Tom blushed.,ടോം ഒരു റൂഗി.,ടോം നശിച്ചു.,تام سمیک.,Tom è arrossito. | Tom arrossì.,He became red.,ටොම්ගේ මූන රතු වෙලා.,Tom se zarumienił.
190239,1028631,Tom hugged Mary.,汤姆很适合玛丽.,Tom umarmte Mary. | Tom hat Mary umarmt.,תום חיבק אתמרי.,Tom ha abbracciato Mary. | Tom abbracciò Mary.,I'm going to try to hold my belt tight.,汤姆拥抱了玛丽。,Tom przytulił Mary.
193352,1064331,It wasn't my fault.,Nebylo to moje chyba. | Nebylo to moje chyba.,Das war nicht meine Schuld. | Es war nicht meine Schuld.,To nebylo moje vina. To nebylo moje vina. To bylo kvůli mně.,| Not è stata colpa mia.,It was not my fault. | It was not my calmness.,那不是 මගේ錯.,To nie byla moja wina.
193634,1071653,Eat your soup before it gets cold.,Mange ta soupe avant qu'elle ne refroidisse. | Mangez votre soupe avant qu'elle ne refroidisse.,"Iss your Suppe, bevor sie kalt wird.",| תאכלי את המרק שלך לפני שהוא מתקרר.,Mangia la tua minestra prima che diventi fredda. | Mangia la tua zuppa prima che diventi fredda. | Mangia la tua minestra prima che si raffreddi. | Mangia la tua zuppa prima che si raffreddi.,スープが冷めないうちに飲んでね.,趁汤没凉之前喝下。,Zjedz zupę zanim wystygnie.
193744,1075501,May I put it here?,Puis-je le mettre ici? | Puis-je le mettre là? | Puis-je la mettre ici?,Darf ich es hierhin stellen? | Darf ich es hierhin legen?,Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here? | Can I put it here?,Můžu to udělat? | Můžu to udělat? | Můžu to udělat? | Můžu to udělat?,ഇവിടെ വെച്ചോട്ടെ?,我可以把它放在这儿吗?,Můžu se sem přidat?
193745,1075502,We should always obey laws.,| 私たちは常に法律に従うべきである。,हम हमें हमेशा एक नियम बनाए रखना चाहिए।,हमें हमेशा कानून का पालन करना चाहिए।,Dovremmo sempre obbedire alle leggi. | Noi dovremmo sempre obbedire alle leggi.,We must always protect the law.,我们总要遵守法律。,എല്ലായ്പ്പോഴും നിയമങ്ങള് അനുസരിക്കണം.
194256,1084522,I can't drink milk.,Je ne peux pas boire de lait.,Ich vertrage keine Milch. | Ich kann keine Milch trinken.,Nie jestem w stanie wypić mleka. | Nie jestem w stanie wypić mleka.,Non posso bere il latte. | Io non posso bere il latte.,牛乳は飲めない。 | 僕は牛乳がダメだ。,I cannot drink milk. | I cannot drink milk.,Nie mogę කිරි බොන්න.
196963,1094582,Tom disappeared.,టామ్ ఒక disparu.,ටොම් verschwunden.,תום נעלם.,Tom è scomparso. | Tom scomparve.,It was unknown where he was.,ටොම් නැතිවුනා.,Tom zniknął.
199055,1098659,Read this.,Lis ceci.,നുണ പറഞ്ഞതാ.,קרא את זה.,මේක කියවන්න. මේක කියවන්න. මේක කියවන්න.,これを読みなさい. | これを読んで.,念这个.,Przeczytaj do. | Przeczytaj do.
199703,1107280,The cat is black.,Le chat est noir.,Die Katze ist schwarz.,החתול הוא שחור.,Il gatto è nero.,It's a black cat.,The cat is black.,Kot jest czarny.
200020,1110791,I'm afraid of heights.,J'ai le vertige. | Je souffre de vertige.,Ich leide unter Akrophobie. | Ich habe Höhenangst.,എനിക്ക് פחד גבהים ഉണ്ട്.,Soffro di vertigini. | Io soffro di vertigini. | Io ho paura delle altezze. | Ho paura delle altezze.,高所が苦手だ。 | 高所恐怖症なんだ。,මම恐高.,Boję się wysokości.
200054,1111548,Hop in.,In: Montez. | Montez.,Mach mit! | Spring rein!,| תקפוץ פנימה | תקפצי פנימה | תקפצו פנימה!,サルタ su. | Saltate su. | Salti su.,乗れよ. | さあ乗って。,ඇතුලට පනින්න.,Wskakuj.
200881,1122514,I'm a woman.,Je suis une femme.,Ich bin eine Frau.,Jsem žena. | Já אשה.,Sono una donna. | Io sono una donna.,私は女だ. | 私は女性です.,මම කාන්තාව.,Jestem kobieta.
201009,1123763,Is she Japanese?,ജപ്പാന് കാരനോ?,ജപ്പാന് കാരനോ?,האם היאיפנית?,È giapponese? | Lei è giapponese?,日本人ですか. | 彼女は日本人ですか.,ඇය ජපන්ද?,Czy ona jest Japonką?
201363,1126684,Help me!,Aide-moi!,හිල්ෆ් මිර්!,මට උදවු කරන්න!,അയുറ്റമി! | അയുറ്റേറ്റമി! | മീ അയുട്ടി!,助けて! | 助けてくれ.,救命呀!,Pomóż mi! | Helpy!
203216,1151779,Today is Thursday.,Nous sommes jeudi.,ഇന്ന് വ്യാഴാഴ്ചയാണ്.,අද יום חמישי.,අද බ් රහස්පතින්දා.,今日は木曜日です。,今天是礼拜四. | 今天是星期四.,Dzisiaj jest czwartek. | Dziś jest czwartek.
203271,1152188,She is stubborn.,Elle est obstinée.,Sie ist ein Sturkopf.,वह कठिन है. | वह झुका हुआ है. | वह מתעקשת है.,È testarda. | Lei è testarda.,彼女は強情です。 | 彼女は頑固です。,她很顽固。,Jest uparta.
204054,1164341,Tom overslept.,Tom se probudil příliš pozdě.,汤姆睡着了。,תום נרדם.,Tom ha dormito troppo. | Tom dormì troppo.,トムは寝坊した.,ටොම් නිදාගත්තා.,ٹام Zaspał.
206235,1194034,I'm not a doctor.,Je ne suis pas médecin. | Je ne suis pas docteur.,Ich bin kein Arzt. | Ich bin keine Ärztin.,私は医者ではない | 私は医者ではない。,මම දොස්තර කෙනෙක් නෙවෙයි. මම දොස්තර කෙනෙක් නෙවෙයි. මම දොස්තර කෙනෙක් නෙවෙයි.,私は医者ではありません。 | 私は医者じゃありません。,我不是医師. | 我不是医師,Nie jestem lekarzem.
206742,1205289,Welcome to Tatoeba!,Bienvenue chez Tatoeba. | Bienvenue sur Tatoeba. | Bienvenue à Tatoeba!,Willkommen auf Tatoeba. | Willkommen bei Tatoeba. | Willkommen bei Tatoeba! | Willkommen auf Tatoeba!,ښه راغلاست ټیوبا! | ښه راغلاست ټیوبا! | ښه راغلاست ټیوبا.,Benvenuto su Tatoeba | Benvenuta su Tatoeba. | Benvenuti su Tatoeba. | Benvenute su Tatoeba.,タトエバ・プロジェクトのウェブサイトへようこそ。 | タトエバへようこそ。 | Tatoebaへようこそ! | Tatoebaへようこそ。,タトエバへようこそ | タトエバへようこそ!,Witamy w Tatoeba! | Serdecznie witamy w projekcie Tatoeba!
207737,1222816,Horses are animals.,"Les chevaux sont des animaux. | Cheval, c'est un animal. | Cheval est un animal. | Le cheval est un animal.",Pferde sind Tiere. | Ein Pferd ist ein Tier.,סוסים הם חיות.,I cavalli sono animali. | I cavalli sono degli animali.,The horse is an animal.,馬是動物。,Konie na zvířata.
209573,1258802,Why did she do that?,Proč to nedělá?,ඇයි sie das getan?,Why did she do it? | Why did she do it?,"""എന്ത് കൊണ്ടാണ് ഇത് സംഭവിച്ചത്?""",Why did she do that? | Why did she do that? | Why did she do that?,ඇයි ඇය මේ වගේ දෙයක් කරන්නේ?,ඇයි එයා එහෙම කලේ?
209642,1260118,He's in the kitchen.,Il est dans la cuisine.,Er ist in der Küche.,On je v kuchyni. | On je v kuchyni.,Lui è in cucina. | È in cucina. | Lui è in cucina.,彼は台所です。 | 彼はキッチンにいる。,అతను వంటగది.,Jest w kuchni.
210112,1276135,This bird can't fly.,Cet oiseau ne peut pas voler. | Cet oiseau ne sait pas voler.,Dieser Vogel kann nicht fliegen.,ציפור זו לא יכולה לעוף.,Questo uccello non può volare. | Questo uccello non riesce a volare.,This bird cannot fly. | This鳥は飛べません.,这只鸟不能飞。,Ten ptak nie może latać. | Ten ptak nie potrafi latać.
210140,1276904,I have already finished reading this book.,Я уже закончил читать эту книгу.,Ich habe dieses Buch schon zu Ende gelesen. | Ich bin mit diesem Buch schon durch.,我已经读完这本书了。,私はすでにこの本を読むことを終了しました。 | 私はすでにこの本を読むことを終了しました。,I have already finished reading this book.,I have finished the book. | I have finished the book了.,Już skończyłem czytać tę książkę.
210311,1283955,That's a lie!,ഇത് Un mensonge ആണ്!,Das ist gelogen!,അത് שקר!,È una bugia! | È una menzogna!,嘘!,那是个谎话. | 騙人!,බොරුවට!
210362,1285500,The apple doesn't fall far from the tree.,Le fruit ne tombe jamais loin de l'arbre. | La pomme ne tombe pas loin du tronc.,Der Apfel fällt nicht weit vom Stamm.,The apple does not fall far from the tree.,La mela non cade lontana dall'albero.,The frog's frog is a frog. | かえるの子はかえる.,The apple falls somewhere won't leave the tree trunk very far.,Niedaleko pada jabłko od jabłoni.
210564,1292208,Don't wait.,N'attends pas! | N'attendez pas!,Warte nicht! | Wartet nicht! | Warten Sie nicht!,אל תחכה.,Ne aspettare! | Non aspettate! | Non aspetti!,待つな.,កុំ រង់ចាំ!,Nie czekaj.
210887,1299275,Oh no!,اوہ نہیں!,"ඔහ්, නෑ!","| הו, לא!",اوہ نہیں!,♪ ♪ ♪ ♪ ♪,不会吧.,ඕ නයි!
210992,1300736,Follow that car.,මේ කාර් එක ගන්න. මේ කාර් එක ගන්න.,Folgt dieses Auto. | Folgen Sie diesem Auto. | Fahren Sie dieses Wagen hinterher. | Fahrt dieses Wagen hinterher. | Fahren Sie dieses Wagen hinterher.,इस गाड़ी के पीछे चलो। इस गाड़ी के पीछे चलो।,Segui quella macchina. | Segui quell'auto. | Segui quell'automobile. | Seguite quella macchina. | Seguite quell'auto. | Seguite quell'automobile. | Segua quella macchina. | Segua quell'auto. | Segua quell'automobile.,go after that car.,跟上那辆車.,Jedź za tym samochodem. | Podążaj za tym samochodem.
211002,1300804,I was at home.,Byla jsem doma. | Byla jsem doma. | Byla jsem v bytě.,Já byl doma. | Já byl zu Hause. | Já byl daheim.,Byla jsem doma.,Ero a casa. | Ero in casa. | Io ero a casa.,මම ගෙදර හිටියා.,我刚才在家。,Byłam w domu.
211013,1300904,"She has about 2,000 books.",Elle a environ 2000 livres. | Elle a environ deux mille livres. | Elle a à peu près 2000 livres. | Elle a à peu près deux mille livres.,Sie hat ungefähr zweitausend Bücher.,Ma tu tysiące książek.,Má asi 2.000 knih. | Lei má asi 2.000 knih. | Má asi duemila knih. | Lei má asi duemila knih.,"She has about 2,000 books. | She 大体二千冊の本を所有している。",She has about 2000 books.,Ma około dwóch tysięcy książek.
211377,1308427,Is it far?,Est-ce éloigné? | Est-ce loin? | C’est loin?,Das weit?,یہ دور ہے؟,È lontano? | È lontana?,そこって遠いですか?,දුරද?,Czy do daleko?
212376,1327057,Seriously?,Est-ce sérieux? | Vraiment? | Sérieusement? | Vraiment? | Vrai? | Ah bon? | Sans blague? | Ah vraiment? | C'est vrai? | Ben voyons donc!,Wirklich? | Echt? | Ernsthaft? | Im Ernst? | Tatsächlich? | Echt jetzt?,بרצינות؟,සිරාවටම?,まじで? | 本気? | 本当?,真的? 你肯定吗?,Serio? | Naprawdę?
212604,1331062,I like horses.,J'aime les chevaux.,Ich mag Pferde.,私は馬が好きです. | 私は馬が好きです.,Mi piacciono i cavalli. | A me piacciono i cavalli.,I like horses.,මම කැමතියි马.,Lubię konie.
213429,1342184,Disgusting!,Dégoutant! | Dégoûtant! | Crade!,විඩර්ලිච්!,छिपाओ!,Ma che schifo! | Disgustoso! | Disgustosa! | Disgustosi! | Disgustose!,気色悪いー!,恶心!,Obrzydliwość!
213650,1343997,Why do you love me?,Why tu m'aimes? | Why m'aimez-vous?,ඇයි liebst du mich?,Proč mě miluješ?,ඇයි මගේ යාලුවා?,Why do you love me?,ඇයි ඔයා මට කැමති?,Proč mě miluješ?
214904,1359933,As you wish.,Jak chceš. | Jak chceš.,Wie Sie wollen. | Wie ihr wollt. | Wie du willst.,మీకు కావలసినఎలా.,"आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ, आओ।",畏まりました.,由着 మీరు吧.,Jak sobie chcesz.
215478,1369314,I have just finished eating.,Je viens de finir de manger.,నేను gerade zu Ende gegessen కలిగి.,හරියටම කාලා ඉවරයි. | הרגע סיימתי කාලා ඉවරයි. | הרגע කාලා ඉවරයි. | זה הרגע කාලා ඉවරයි.,Ho appena finito di mangiare.,I just eat endえたところだ.,我刚吃完了。,Właśnie skończyłem jeść.
215598,1370839,I want to eat ice cream.,Je veux manger de la glace.,Ich möchte Eis essen.,Já chci čokoládu.,Voglio mangiare del gelato. | Io voglio mangiare del gelato.,アイスクリームが食べたい. | アイス食べたい. | アイス食べたいな.,アイスクリームを食べたい | アイスクリームを食べたい。,Chcę zjeść loda.
