,index,english,chinese,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,polish,russian,spanish,turkish,ukrainian
150558,495717,I'm a journalist.,我是记者。,Ik ben een journalist.,Minä olen toimittaja.,Je suis journaliste.,Ich bin Journalist.,אני עיתונאי.,Újságíró vagyok.,Sono un giornalista.,私は記者です。,Jestem dziennikarzem.,Я журналист.,Soy periodista.,Ben bir gazeteciyim.,Я журналіст.
150562,495838,Please close the door.,請關門。,Sluit de deur alsjeblieft.,"Sulkisitko oven, kiitos.","Fermez la porte, s'il vous plaît.",Schließ bitte die Tür.,נא לסגור את הדלת.,"Kérem, csukja be az ajtót.","Chiudi la porta, per favore.",戸を閉めてください。,Proszę zamknąć drzwi.,"Пожалуйста, закрой дверь.","Cierra la puerta, por favor.",Lütfen kapıyı kapatın.,"Будь ласка, зачини двері."
150650,497132,Squirrels move quickly.,松鼠动作很快。,Eekhoorns bewegen snel.,Oravat liikkuvat nopeasti.,Les écureuils se déplacent rapidement.,Eichhörnchen bewegen sich schnell.,סנאים נעים במהירות.,A mókusok gyorsan mozognak.,Gli scoiattoli si muovono rapidamente.,リスは動きがすばやい。,Wiewiórki poruszają się szybko.,Белки быстро двигаются.,Las ardillas se mueven velozmente.,Sincaplar çabuk hareket ederler.,Білки швидко рухаються.
150727,497969,See you tomorrow.,明天见。,Tot morgen.,Nähdään huomenna.,À demain.,Bis morgen!,להתראות מחר.,Viszlát holnap!,A domani.,明日お会いしましょう。,Do jutra.,До завтра.,Hasta mañana.,Yarın görüşürüz.,До завтра!
150811,499689,Good afternoon.,下午好。,Goedemiddag!,Hyvää päivää.,Bonjour.,Guten Tag!,אחר צהריים טוב.,Jó napot!,Buon pomeriggio.,今日は。,Dobry dzień.,Добрый день.,¡Buenas tardes!,İyi günler.,Добрий день.
150828,499998,I'm just looking.,我只是隨便看看。,Ik ben alleen maar aan het kijken.,Minä vain katselen.,Je regarde juste.,Ich schaue nur.,אני רק מסתכל.,Csak nézelődöm.,Sto solo guardando.,見ているだけだ。,Tylko oglądam.,Я просто смотрю.,Sólo estoy mirando.,Sadece bakıyorum.,Я лише дивлюсь.
151264,506446,Don't worry.,不要擔心。,Maak je geen zorgen.,Älä huoli.,Ne t'inquiète pas.,Mach dir keine Sorgen.,אל תדאג.,Ne parázz!,Non ti preoccupare.,心配しないで。,Nie martw się.,Не беспокойся.,No te preocupes.,Endişelenme.,Не переймайся.
151303,506948,Do you smoke?,你吸烟吗?,Rookt u?,Tupakoitteko?,Fumez-vous ?,Rauchen Sie?,אתה מעשן?,Dohányzol?,Fumi?,煙草を吸いますか。,Palisz?,Вы курите?,¿Usted fuma?,Sigara içiyor musunuz?,Ти куриш?
151505,508844,The dog is dead.,这条狗死了。,De hond is dood.,Koira on kuollut.,Le chien est mort.,Der Hund ist tot.,הכלב מת.,A kutya megdöglött.,Il cane è morto.,犬は死んでいるよ。,Pies jest martwy.,Пёс мёртв.,El perro está muerto.,Köpek ölüdür.,Пес помер.
151757,513527,Tom was fired.,湯姆被解僱了。,Tom was ontslagen.,Tom sai potkut.,Tom a été mis à la porte.,Tom wurde gefeuert.,טום פוטר.,Tomit kirúgták.,Tom è stato licenziato.,トムは首になった。,Tom został zwolniony.,Тома уволили.,Tom fue despedido.,Tom işten kovuldu.,Тома звільнили.
151760,513534,He raised his hands.,他舉起了他的手。,Hij stak de handen omhoog.,Hän nosti kätensä.,Il leva les mains.,Er hob die Hände.,הוא הרים את ידיו.,Felemelte mindkét kezét.,Ha alzato le mani.,彼は両手をあげた。,On podniósł swoje ręce.,Он поднял руки.,Él levantó las manos.,"O, ellerini kaldırdı.",Він підняв руки.
151849,515472,That's life.,這就是生活。,Dat is het leven.,Se on elämää.,C'est la vie.,So ist das Leben.,אלה החיים.,Ilyen az élet.,Così è la vita.,人生とはそんなものさ。,Takie jest życie.,Это жизнь.,Esa es la vida.,Hayat bu.,Таке життя.
151862,515572,Are you Japanese?,你是日本人吗？,Bent u Japans?,Oletteko te japanilaisia?,Êtes-vous japonais ?,Sind Sie Japaner?,אתם יפנים?,Ön japán?,Siete giapponesi?,日本人ですか。,Czy jesteś Japończykiem?,Вы японец?,¿Es usted japonés?,Japon musun?,Ви японець?
151926,516321,Today is Monday.,今天是周一。,Vandaag is het maandag.,Tänään on maanantai.,"Aujourd'hui, on est lundi.",Heute ist Montag.,יום שני היום.,Ma hétfő van.,Oggi è lunedì.,今日は月曜日です。,Dziś jest poniedziałek.,Сегодня понедельник.,Hoy es lunes.,Bugün pazartesi.,Сьогодні понеділок.
151946,516601,He is poor.,他很穷。,Hij is arm.,Hän on köyhä.,Il est pauvre.,Er ist arm.,הוא עני.,Ő szegény.,Lui è povero.,彼は貧しい。,On jest biedny.,Он беден.,Él es pobre.,O fakirdir.,Він бідний.
151972,516745,Goodbye!,再见！,Tot ziens!,Hyvästi!,Au revoir !,Tschüss!,שלום.,Viszlát!,Arrivederci.,さようなら！,Do widzenia!,До свидания!,¡Hasta luego!,Hoşça kalın.,До побачення!
152040,518553,You may go.,您可以走了。,Je mag gaan.,Voit mennä.,Vous pouvez partir.,Sie dürfen gehen.,אתה יכול ללכת.,Elmehetsz.,Puoi andare.,行ってもよい。,Możesz iść.,Ты можешь идти.,Puedes irte.,Gidebilirsin.,Ти можеш йти.
152216,521667,It's a good question.,它是一個很好的問題。,Het is een goede vraag.,Se on hyvä kysymys.,Bonne question.,Das ist eine gute Frage.,שאלה טובה.,Ez jó kérdés.,È una buona domanda.,よい質問だ。,To dobre pytanie.,Это хороший вопрос.,Es una buena pregunta.,O iyi bir soru.,Добре питання.
152365,525267,"Tatoeba means ""for example"" in Japanese.",日语 “Tatoeba” 是例如的意思。,"Tatoeba is Japans voor ""bijvoorbeeld"".",”Tatoeba” tarkoittaa japaniksi ”esimerkiksi”.,« Tatoeba » signifie « par exemple » en japonais.,„Tatoeba“ bedeutet „zum Beispiel“ auf Japanisch.,"טאטואבה ביפנית פירושו ""לדוגמה"".",A japán tatoeba szó jelentése például.,"Tatoeba in giapponese significa ""per esempio"".",Tatoebaとは日本語で「例えば」という意味です。,"Tatoeba znaczy ""na przykład"" po japońsku.","Татоэба обозначает ""например"" по-японски.","Tatoeba significa ""por ejemplo"" en japonés.","Tatoeba Japoncada ""mesela"" demektir.","Татоеба означає ""наприклад"" японською."
152581,528455,She woke up.,她醒了。,Ze werd wakker.,Hän heräsi.,Elle s'est réveillée.,Sie wachte auf.,היא התעוררה.,Felkelt.,Si svegliò.,彼女は目ざめた。,Obudziła się.,Она проснулась.,Ella se despertó.,O uyandı.,Вона прокинулася.
152677,529830,Don't tell anyone this.,不要告訴任何人這件事。,Spreek hierover met niemand.,Älä kerro tätä kenellekään.,Ne dis cela à personne !,Erzähl es keinem!,אל תספר על זה לאף אחד.,Senkinek se beszélj erről!,Non dire questo a nessuno.,このことは誰にも言うな。,Nikomu o tym nie mów.,Никому об этом не говори.,No se lo digas a nadie.,Bunu kimseye söyleme.,Нікому цього не кажи.
152752,530595,He ordered a beer.,他點了一杯啤酒。,Hij heeft een bier besteld.,Hän tilasi oluen.,Il a commandé une bière.,Er bestellte ein Bier.,הוא הזמין בירה.,Egy sört rendelt.,Ha ordinato una birra.,彼はビールを注文した。,On zamówił piwo.,Он попросил кружку пива.,Pidió una cerveza.,O bir bira sipariş etti.,Він замовив пиво.
152938,533100,Where is the most beautiful place in the world?,世界上最美丽的地方在哪里？,Waar is de mooiste plaats op aarde?,Missä on maailman kaunein paikka?,Où se trouve l'endroit le plus beau au monde ?,Wo ist der schönste Ort der Welt?,היכן המקום היפה ביותר בעולם?,Hol van a legszebb hely a világon?,Dov'è il posto più bello del mondo?,世界で最も美しい場所はどこですか。,Gdzie jest najpiękniejsze miejsce na świecie?,Где находится самое красивое место в мире?,¿Dónde está el lugar más hermoso del mundo?,Dünyada en güzel yer nerededir?,Де найгарніше місце на світі?
153004,533746,How's your mother?,你母亲怎么样？,Hoe gaat het met jullie moeder?,Miten sinun äitisi voi?,Comment va votre mère ?,Wie geht es Ihrer Mutter?,מה שלום אמך?,Hogy van édesanyád?,Come sta tua madre?,お母さんの具合はどう？,Jak się miewa wasza matka?,Как твоя мать?,¿Qué tal tu madre?,Annen nasıl?,Як мама?
153176,535419,Do you have a cellphone?,您有手机吗？,Heb je een mobieltje?,Onko sinulla kännykkää?,As-tu un natel ?,Hast du ein Handy?,יש לך פלאפון ?,Van mobilod?,Hai un cellulare?,携帯電話を持っていますか？,Czy masz komórkę?,У тебя есть мобильник?,¿Tienes un móvil?,Senin cep telefonun var mı?,У тебе є мобільний?
153309,538123,Hi.,你好。,Hoi.,Hei.,Salut !,Hallo!,שלום.,Cső!,Ciao!,やっほー。,Cześć.,Здравствуй.,Hola.,Selam.,Привіт.
153344,539017,He likes fishing.,他喜歡釣魚。,Hij vindt vissen leuk.,Hän pitää kalastamisesta.,Il aime pêcher.,Er angelt gern.,הוא אוהב לדוג.,Szeret horgászni.,Gli piace pescare.,彼は釣りが好きだ。,On lubi łowić ryby.,Он любит рыбалку.,Le gusta pescar.,O balık tutmayı seviyor.,Він любить рибалити.
153701,544691,Where's the boss?,老闆在哪裡？,Waar is de baas?,Missä pomo on?,Où est le patron ?,Wo ist der Chef?,איפה האחראי?,Hol van a főnök?,Dov'è il capo?,社長はどこですか。,Gdzie jest szef?,Где начальник?,¿Dónde está el jefe?,Patron nerede?,Де начальник?
153938,551318,Why did you lie?,你为什么说谎？,Waarom loog je?,Miksi sinä valehtelit?,Pourquoi as-tu menti ?,Warum hast du gelogen?,למה שיקרת?,Miért hazudott?,Perché hai mentito?,なぜ嘘をついたの？,Dlaczego skłamałeś?,Зачем ты соврал?,¿Por qué mentiste?,Neden yalan söyledin?,Навіщо ти сказав неправду?
153943,551443,No problem.,没关系。,Geen probleem.,Eipä mitään.,Pas de problème.,Kein Problem.,אין בעיה.,Semmi gond.,Non c'è problema.,大丈夫ですよ。,Nie ma problemu.,Нет проблем.,Ningún problema.,Sorun yok!,Немає проблем.
154720,566026,Time is money.,时间就是金钱。,Tijd is geld.,Aika on rahaa.,"Le temps, c'est de l'argent.",Zeit ist Geld.,זמן הוא כסף.,Az idő pénz.,Il tempo è denaro.,時は金なり。,Czas to pieniądz.,Время - деньги.,El tiempo es dinero.,Zaman paradır.,Час — це гроші.
154778,567368,I'm a student.,我是个学生。,Ik ben student.,Minä olen opiskelija.,Je suis étudiant.,Ich bin Student.,אני סטודנט.,Tanuló vagyok.,Sono uno studente.,私は学生です。,Jestem studentem.,Я студент.,Soy estudiante.,Ben bir öğrenciyim.,Я студент.
155238,576084,I hate Mondays.,我讨厌星期一。,Ik heb een hekel aan maandagen.,Mä inhoon maanantaita.,Je déteste les lundis.,Ich hasse Montage.,אני שונא את ימי שני.,Utálom a hétfőket!,Odio il lunedì.,月曜日が嫌い。,Nienawidzę poniedziałków.,Ненавижу понедельники.,Odio los lunes.,Pazartesilerden nefret ediyorum.,Я ненавиджу понеділки.
155418,580774,I'm a man.,我是个男人。,Ik ben een man.,Olen mies.,Je suis un homme.,Ich bin ein Mann.,אני גבר.,Férfi vagyok.,Sono un uomo.,私は男だ。,Jestem mężczyzną.,Я мужчина.,Soy un hombre.,Ben bir erkeğim.,Я чоловік.
155444,582309,I need help.,我需要帮助。,Ik heb hulp nodig.,Tarvitsen apua.,J'ai besoin d'aide.,Ich brauche Hilfe.,אני צריך עזרה.,Szükségem van segítségre.,Ho bisogno di aiuto.,助けてください。,Potrzebuję pomocy.,Мне нужна помощь.,Necesito ayuda.,Yardıma ihtiyacım var.,Мені потрібна допомога.
156353,607840,Go to hell!,你們他媽的下地獄!,Ga naar de hel!,Painu helvettiin!,Va en enfer !,Fahr zur Hölle!,לך לעזאזל!,Mész ám te a csudába!,Va' all'inferno!,死ね！,Idź do diabła!,Иди к чёрту!,¡Vete al infierno!,Cehenneme git!,Іди до біса!
156468,611372,We want complete sentences.,我们想要完整的句子。,We willen volledige zinnen.,Me haluamme kokonaisia lauseita.,Nous voulons des phrases complètes.,Wir wollen vollständige Sätze.,אנחנו רוצים משפטים שלמים.,Teljes mondatokat akarunk.,Vogliamo frasi complete.,私たちは完全な文を求めています。,Chcemy pełnych zdań.,Нам нужны законченные предложения.,Queremos frases completas.,Tam cümleler istiyoruz.,Нам потрібні повні речення.
156481,611769,You don't need to call me.,你不必打电话给我。,Je hoeft me niet op te bellen.,Sinun ei tarvitse soittaa minulle.,Tu n'as pas à m'appeler.,Du brauchst mich nicht anzurufen.,אתה לא חייב לצלצל אליי.,Nem kell felhívnod.,Non devi chiamarmi.,君は僕に電話する必要はない。,Nie musisz do mnie dzwonić.,Вам не нужно мне звонить.,No necesitas llamarme.,Beni aramana gerek yok.,Тобі не потрібно мені телефонувати.
156708,619636,Do you come here often?,你常来吗？,Kom je hier vaak?,Käyttekö täällä usein?,Tu viens souvent ici ?,Kommst du oft hierher?,אתה מגיע הנה לעתים קרובות?,Gyakran jársz ide?,Vieni spesso qui?,ここよく来るの？,Często tu przychodzisz?,Ты часто сюда приходишь?,¿Vienes por aquí a menudo?,Buraya sık sık gelir misiniz?,Ти часто сюди приходиш?
157323,628213,Correct!,正确！,Correct!,Oikein!,C'est vrai !,Richtig!,נכון!,Helyes!,È vero!,正解！,Dobrze!,Правильно!,¡Correcto!,Doğru!,Вірно!
157327,628230,We agree.,我们同意。,We zijn het eens.,Olemme samaa mieltä.,Nous sommes d'accord.,Wir stimmen zu.,מוסכם.,Egyetértünk.,Siamo d'accordo.,意見が一致している。,Zgadzamy się.,Мы согласны.,Estamos de acuerdo.,Biz aynı fikirdeyiz.,Ми згодні.
157419,630620,This novel is boring.,這本小說很無聊。,Deze roman is saai.,Tämä romaani on tylsä.,Ce roman est ennuyeux.,Dieser Roman ist langweilig.,הרומן הזה משעמם.,Ez a regény unalmas.,Questo romanzo è noioso.,この小説は退屈だ。,Ta powieść jest nudna.,Этот роман скучный.,Esta novela es aburrida.,Bu roman sıkıcı.,Цей роман нудний.
157445,631038,Jump.,跳。,Spring.,Hyppää.,Sautez.,Spring.,קפוץ.,Ugorjunk!,Salta.,飛び跳ねて！,Skok.,Прыгай!,Salte.,Defol.,Стрибай.
157606,634028,Do you speak Turkish?,你说土耳其语吗？,Spreek je Turks?,Puhutko turkkia?,Tu parles turc ?,Sprechen Sie Türkisch?,אתה מדבר טורקית?,Beszél ön törökül?,Parli il turco?,あなたはトルコ語を話しますか。,Czy umiesz mówić po turecku?,Вы говорите по-турецки?,¿Hablas turco?,Türkçe konuşuyor musun?,Ти говориш турецькою?
157795,638544,Where is the train station?,火车站在哪里?,Waar is het treinstation?,Missä on juna-asema?,Où est la gare ?,Wo ist der Bahnhof?,איפה תחנת הרכבת?,Hol van a vonatállomás?,Dov'è la stazione?,駅はどこですか。,Gdzie jest dworzec kolejowy?,Где железнодорожная станция?,¿Dónde está la estación de ferrocarril?,Tren istasyonu nerede?,Де залізнична станція?
