,index,english,dutch,finnish,french,german,hebrew,hungarian,italian,japanese,mandarin,polish,portuguese,russian,spanish,turkish,ukrainian
148248,462476,Stay there.,Blijf hier.,Pysy siellä. | Pysykää siellä. | Jää sinne. | Jääkää sinne.,Restez là. | Reste là. | Reste là-bas.,Bleib da!,תישארו שם.,Maradj ott! | Maradjon ott!,Stai lì. | State lì. | Stia lì. | Resta lì. | Restate lì. | Resti lì. | Rimani lì. | Rimanete lì. | Rimanga lì. | Rimane lì.,そこにいて。,留在这里别动。,Zostań tam.,Fique ali. | Fique aí. | Fica aí.,Стой там. | Стойте там. | Оставайся там. | Оставайтесь там.,Quédese allí. | Quédate ahí.,Orada kal.,Залишайтеся там.
148271,462526,That hurts.,Dat doet pijn.,Tuo sattuu.,Ça fait mal.,Das tut weh.,זה מכאיב.,Az fáj. | Ez fáj. | Ez fáj! | Fáj.,Fa male.,痛いです。 | 痛い。 | 痛い！,真疼。,To boli.,Isso machuca.,Больно.,Me duele. | Eso duele.,O acıtıyor.,Боляче. | Мені болить. | Мені боляче.
148296,462578,"The bill, please.","De rekening, alstublieft. | Mag ik de rekening? | Mag ik de rekening alstublieft? | De rekening alsjeblieft.","Lasku, kiitos. | Saisinko laskun.","L'addition, s'il vous plait. | J'aimerais la note, je vous prie. | L'addition, s'il vous plaît. | L'addition s'il vous plaît. | La note, s'il vous plait.","Die Rechnung bitte. | Die Rechnung, bitte. | Zahlen bitte! | Bitte zahlen!","חשבון בבקשה. | אבקש חשבון. | את החשבון, בבקשה. | חשבון, בבקשה.",A számlát kérem!,"Il conto, per favore. | Il conto, per piacere.",勘定お願いします。 | お勘定して下さい。 | お会計お願いします。 | 勘定書をお願いします。,买单。,Poproszę o rachunek! | Poproszę rachunek. | Poproszę o rachunek.,"A conta, por favor.","Счет, пожалуйста. | Счёт, пожалуйста.","La cuenta, por favor.","Hesap, lütfen. | Hesap lütfen.","Прошу рахунок. | Рахунок, будь ласка."
148342,462670,The customer is always right.,De klant heeft altijd gelijk. | Klant is koning.,Asiakas on aina oikeassa.,Le client a toujours raison. | Le client est roi. | C'est toujours le client qui a raison.,Der Kunde hat immer Recht. | Der Kunde ist König. | Der Kunde hat immer recht.,הלקוח תמיד צודק.,A vevőnek mindig igaza van.,Il cliente ha sempre ragione.,客の言うことはいつも正しい。,顧客永遠是對的。,Klient ma zawsze rację.,O cliente tem sempre razão. | O freguês sempre tem razão.,Клиент всегда прав.,El cliente siempre tiene razón. | El cliente siempre lleva razón.,Müşteri her zaman haklıdır.,Клієнт завжди правий. | Клієнт завжди має рацію.
148756,464282,Turn around.,Draai je om. | Omdraaien.,Käänny ympäri.,Faites demi-tour. | Fais demi-tour.,Dreh um. | Dreh dich um.,הסתובב.,Fordulj meg! | Fordulj hátra!,Giratevi. | Girati. | Si giri.,振り向いて。,转过来。,Odwróć się.,Dê uma volta. | Vira! | Dê meia volta.,Повернись. | Обернись.,Da la vuelta. | Date la vuelta. | Túrnense. | ¡Date vuelta!,Arkanı dön. | Dön! | Dönün.,Обернися. | Повернись.
148760,464290,Turn right.,Sla rechtsaf.,Käänny oikealle.,Tournez à droite. | Tourne à droite. | Virez à droite. | Prenez à droite.,Rechts abbiegen!,סוב ימינה. | פנה ימינה.,Fordulj jobbra!,Gira a destra. | Girate a destra. | Giri a destra. | Volta a destra. | Voltate a destra. | Volti a destra.,右に曲がって。,向右转。,Skręć w prawo.,Dobre à direita. | Vire à direita.,Поверни направо. | Поверните направо.,Doble a la derecha. | Gire a la derecha. | Gira a la derecha.,Sağa dön.,Поверніть направо. | Поверніть праворуч. | Поверни праворуч.
148778,464330,Wash your hands.,Was je handen. | Was jullie handen.,Peskää kätenne.,Lave-toi les mains.,Wasch dir die Hände. | Wascht euch die Hände!,תשטוף ידיים. | תרחץ ידיים. | תשטפי ידיים.,Moss kezet!,Lavati le mani. | Lavatevi le mani. | Si lavi le mani.,手を洗いなさい。 | 手をきれいに洗いなさい。,洗你們的手。,Umyj ręce.,Lavem as mãos. | Lave as mãos.,Вымой руки. | Помой руки. | Помойте руки. | Вымойте руки.,Lávense las manos. | Lávate las manos.,Ellerinizi yıkayın.,Помий руки. | Помийте руки. | Вимий руки!
148881,464546,What do you need?,Wat heb je nodig? | Wat hoef je? | Wat moet je?,Mitä sinä tarvitset? | Mitä tarvitset? | Mitä te tarvitsette? | Mitä tarvitsette?,De quoi avez-vous besoin ? | De quoi avez-vous besoin ? | De quoi as-tu besoin ?,Was brauchen Sie? | Was brauchst du? | Was braucht ihr?,מה אתה צריך? | מה את צריכה?,Mire van szükséged? | Mi kell neked? | Mi ke'? | Mi kő'?,Cosa ti serve? | Che cosa ti serve? | Cosa vi serve? | Che cosa vi serve? | Cosa le serve? | Che cosa le serve?,何が必要ですか。 | 何が要りますか。,你需要什麼?,Czego potrzebujesz?,Do que você precisa? | Do que vocês precisam? | Que deseja a senhora?,Что тебе нужно? | Что вам нужно?,¿Qué necesitas? | ¿Qué necesita?,Neye ihtiyacın var?,Що тобі потрібно? | Що тобі треба? | Чого ти потребуєш?
148890,464566,What does this mean?,Wat betekent dat?,Mitä tämä tarkoittaa?,Qu'est-ce que cela signifie ?,Was bedeutet das? | Was heißt das? | Was bedeutet das hier?,מה פירוש הדבר?,Mit jelent ez?,Questo cosa significa? | Che cosa significa? | Ciò cosa significa? | Cosa significa questo? | Che cosa significa questo? | Cosa significa ciò? | Che cosa significa ciò?,これはどういう意味ですか。 | これどういう意味？ | どういう意味？,這是甚麼意思？ | 这是什么意思？,Co to oznacza? | Co to znaczy?,O que isso significa? | O que é que isso significa?,Что это значит? | Что это означает?,¿Qué quiere decir esto?,Bu ne anlama gelir? | Bu ne anlama geliyor?,Що це означає?
149029,466624,What's your phone number?,Wat is jouw telefoonnummer? | Wat is uw telefoonnummer? | Wat is jullie telefoonnummer?,Mikä sinun puhelinnumerosi on?,Quel est votre numéro de téléphone ? | Quel est ton numéro de téléphone ? | Quel est ton numéro de téléphone ?,Wie lautet deine Telefonnummer? | Wie ist deine Nummer?,מה מספר הטלפון שלך? | מהו מספר הטלפון שלך?,Mi a telefonszámod? | Mi az ön telefonszáma? | Mi a számod?,Che numero di telefono hai? | Che numero di telefono avete? | Che numero di telefono ha?,電話番号は何番ですか。 | 電話番号、何番？,你电话号码是多少？ | 你的电话号码是多少？ | 您的手机号码是多少？ | 你的电话是多少？,Jaki jest twój numer telefonu?,Qual é seu número de telefone?,Назови свой номер телефона. | Какой у тебя номер телефона? | Какой у вас номер телефона? | Какой у тебя телефон? | Какой у вас телефон?,¿Cuál es tu número de teléfono? | ¿Cuál es vuestro número de teléfono?,Telefon numaran nedir?,Який в тебе номер телефону? | Який твій номер телефону? | Назви свій номер телефону. | Який ваш номер телефону?
149039,466728,Please wait five minutes.,Wacht alstublieft vijf minuten. | Wacht alsjeblieft vijf minuten.,Odota viisi minuuttia. | Odottakaa viisi minuuttia.,Veuillez attendre pendant cinq minutes.,Bitte warten Sie fünf Minuten.,נא לחכות חמש דקות.,"Kérem, várjon öt percet. | Öt percet kérek.","Per piacere, aspetta cinque minuti. | Per piacere, aspettate cinque minuti. | Per piacere, aspetti cinque minuti. | Per favore, aspetti cinque minuti. | Per favore, aspetta cinque minuti. | Per favore, aspettate cinque minuti.",５分お待ちください。,請稍等五分鐘。,Proszę poczekać pięć minut.,Espera cinco minutos por favor.,"Пожалуйста, подождите пять минут. | Подождите пять минут, пожалуйста.","Por favor, espere cinco minutos.",Lütfen beş dakika bekle. | Lütfen beş dakika bekleyin. | Lütfen beş dakika bekleyiniz.,"Будь ласка, зачекайте п’ять хвилин. | Почекайте п'ять хвилин, будь ласка."
149057,467339,Iron is a useful metal.,IJzer is een nuttig metaal.,Rauta on hyödyllinen metalli.,Le fer est un métal utile.,Eisen ist ein nützliches Metall.,ברזל זו מתכת שימושית. | הברזל מתכת שימושית.,A vas hasznos fém.,Il ferro è un metallo utile.,鉄は有用な金属です。 | 鉄は役に立つ金属だ。 | 鉄は有用な金属元素である。,铁是个有用的金属。 | 铁是种有用的金属。,Żelazo to pożyteczny metal.,O ferro é um metal útil.,Железо — полезный металл. | Железо - полезный металл. | Железо - это полезный металл.,El hierro es un metal útil.,Demir yararlı bir metaldir.,Залізо - корисний метал. | Залізо - це корисний метал. | Залізо — корисний метал.
149075,467672,Where is your father?,Waar is je vader? | Waar is jullie vader?,Missä sinun isäsi on?,Où est ton père ? | Où est votre père ? | Où se trouve votre père ? | Où se trouve ton père ?,Wo ist dein Vater? | Wo ist euer Vater?,איפה אביך? | איפה אבא שלך? | היכן אביך? | איפה אבא שלכם?,Hol van apád?,Dov'è tuo padre? | Dov'è vostro padre? | Dov'è suo padre? | Dove si trova tuo padre? | Dove si trova vostro padre? | Dove si trova suo padre?,あなたのお父さんはどこにいますか。 | あなたのお父様はどこにいらっしゃいますか？ | お父さんはどこ？,你父亲在哪儿？,Gdzie jest twój ojciec?,Onde está seu pai?,Где твой отец? | Где ваш отец? | Где Ваш отец?,¿Dónde está tu padre? | ¿Dónde está vuestro padre?,Baban nerede?,Де твій батько? | Де ваш батько?
149123,469126,She's my sister.,Zij is mijn zuster. | Zij is mijn zus. | Ze is mijn zus.,Hän on minun siskoni.,C'est ma sœur.,Sie ist meine Schwester.,היא אחותי. | זו אחות שלי. | היא האחות שלי.,Ő a húgom. | Ő a lánytesóm. | Ő a nővérem.,È mia sorella. | Lei è mia sorella.,彼女は私の姉です。,她是我的姊妹。,Ona jest moją siostrą.,Ela é minha irmã.,Она моя сестра.,Ella es mi hermana. | Es mi hermana.,"O, benim kız kardeşim. | O benim bacım. | O benim kız kardeşim.",Вона мені сестра. | Вона моя сестра.
149256,472091,I study Korean.,Ik studeer Koreaans.,Minä opiskelen koreaa.,J'étudie le coréen.,Ich studiere Koreanisch. | Ich lerne Koreanisch.,אני לומד קוריאנית. | אני לומדת קוריאנית.,Koreaiul tanulok.,Studio coreano. | Io studio coreano. | Studio il coreano. | Io studio il coreano.,私は韓国語を勉強します。 | 私は朝鮮語を勉強します。 | 私はハングルを勉強します。 | 私は韓国語を勉強している。,我学韩语。,Uczę się koreańskiego.,Estudo coreano.,Я изучаю корейский. | Я изучаю корейский язык.,Estudio coreano. | Yo estudio coreano. | Aprendo coreano.,Korece çalışıyorum. | Korece çalışırım.,Я вивчаю корейську. | Я вивчаю корейську мову. | Я вчу корейську мову. | Я вчу корейську.
149275,472431,I was wrong.,Ik was fout.,Olin väärässä.,Je me suis trompé. | J'avais tort. | J'eus tort. | J'ai eu tort.,Ich habe mich geirrt. | Ich hatte unrecht.,טעיתי. | שגיתי. | לא הייתי בסדר. | אני הייתי לא בסדר.,Tévedtem.,Mi sono sbagliato. | Avevo torto. | Io avevo torto. | Mi sbagliavo.,私が間違っていました。 | 私が間違ってました。,我搞错了。 | 我想错了。,Myliłem się.,Eu errei. | Eu me enganei. | Eu estava errado.,Я ошибся. | Я ошибался. | Я был неправ. | Я был не прав. | Я была не права.,Estaba equivocado.,Hatalıydım.,Я помилився. | Я помилявся.
149288,473177,"Hi, how are you?","Hé, hoe gaat het met je?","Terve, mitä kuuluu?","Salut, comment ça va ? | Salut ! Comment vas-tu ? | Salut. Comment vas-tu ?","Hallo! Wie geht’s? | Hallo, wie geht's dir?","שלום, מה שלומך?",Halló! Hogy vagy?,"Ciao, come stai? | Ciao! Come stai?",こんにちは、お元気ですか？ | どうも、元気か？ | こんにちは、如何ですか？ | やあ！元気？,嗨，你怎么样？,Cześć! Jak się masz?,"Oi, como você está? | Oi! Como vai você? | Oi, como vai?","Привет, как дела? | Привет, как поживаешь? | Привет! Как ты? | Привет! Как дела?","Hola, ¿qué tal? | Hola, ¿cómo estás? | ¡Hola! ¿Qué tal estás?","Merhaba, nasılsın? | Selam, nasılsın?","Привіт, як справи? | Привіт. Як ти?"
149538,477061,No.,Nee.,Ei.,Non. | Non !,Nö. | Nein.,לא. | לא!,Nem.,No.,いいえ。 | ノー。,不是。 | 不。,Nie.,Não.,Нет. | Неа. | Не-а.,No.,Hayır.,Ні.
149541,477086,Yes.,Ja.,Kyllä. | Jaa. | Joo.,Oui. | Entendu !,Ja.,כן.,Igen.,Sì.,はい。 | うん。 | ええ。 | そう。 | イエス。,是的。 | 是。 | 對。,Tak. | No.,Sim.,Да. | Так.,Sí.,Evet.,Так.
149667,478255,He closed the door.,Hij sloot de deur.,Hän sulki oven.,Il a fermé la porte. | Il ferma la porte.,Er schloss die Tür.,הוא סגר את הדלת.,Becsukta az ajtót.,Ha chiuso la porta. | Chiuse la porta.,彼はドアを閉めた。,他关了门。,On zamknął drzwi. | Zamknął drzwi.,Ele fechou a porta.,Он закрыл дверь.,Cerró la puerta.,"O, kapıyı kapattı.",Він зачинив двері.
149694,478568,I have no friends.,Ik heb geen vrienden.,Minulla ei ole ystäviä.,Je n'ai pas d'amis. | Je n'ai aucun ami. | Je n'ai aucune amie. | Je n'ai pas d'amies.,Ich habe keine Freunde.,אין לי חברים.,Nincsenek barátaim.,Non ho amici. | Io non ho amici. | Non ho amiche. | Io non ho amiche. | Non ho alcun amico. | Io non ho alcun amico. | Non ho alcuna amica. | Io non ho alcuna amica.,私は友達がいない。,我没有朋友。,Nie mam przyjaciół.,Eu não tenho amigos.,У меня нет друзей. | У меня нет подруг.,No tengo amigos.,Hiç arkadaşım yok. | Arkadaşım yok.,У мене немає друзів. | В мене немає друзів. | Я не маю друзів.
149808,481593,Are they friends?,Zijn ze vrienden?,Ovatko he ystäviä?,Sont-ils amis ? | Sont-ils amis ? | Sont-elles amies ?,Sind sie befreundet? | Sind sie Freunde?,האם הם חברים?,Ők barátok?,Sono amici? | Sono amiche? | Loro sono amici? | Loro sono amiche?,彼らは友達なんですか。,他们是朋友吗？,Czy oni są przyjaciółmi?,Eles são amigos?,Они друзья? | Они подруги? | Они дружат?,¿Son amigos? | ¿Ellos son amigos?,Onlar arkadaş mı?,А вони друзі? | Вони друзі?
